Date,Searches,Cases
28/11/2015,100,1
05/12/2015,100,0
12/12/2015,100,0
19/12/2015,100,0
26/12/2015,100,0
02/01/2016,100,9
09/01/2016,100,0
16/01/2016,98,3
23/01/2016,57,11
30/01/2016,67,11
06/02/2016,55,10
13/02/2016,94,9
20/02/2016,43,3
27/02/2016,37,15
05/03/2016,63,3
12/03/2016,81,7
19/03/2016,74,6
26/03/2016,77,14
02/04/2016,83,10
09/04/2016,69,11
16/04/2016,100,1
23/04/2016,100,5
30/04/2016,100,3
07/05/2016,100,0
14/05/2016,100,1
21/05/2016,100,0
28/05/2016,100,10
04/06/2016,100,7
11/06/2016,100,0
18/06/2016,100,59
25/06/2016,67,43
02/07/2016,57,45
09/07/2016,52,55
16/07/2016,68,45
23/07/2016,51,46
30/07/2016,77,21
06/08/2016,38,20
13/08/2016,25,16
20/08/2016,17,15
27/08/2016,14,29
03/09/2016,5,3
10/09/2016,17,2
17/09/2016,26,12
24/09/2016,8,1
01/10/2016,19,47
08/10/2016,16,105
15/10/2016,9,3
22/10/2016,3,4
29/10/2016,0,1
05/11/2016,12,46
12/11/2016,0,0
19/11/2016,24,0
26/11/2016,19,0
03/12/2016,0,0
10/12/2016,0,1
17/12/2016,0,0
24/12/2016,10,0
31/12/2016,39,0
07/01/2017,10,0
14/01/2017,26,0
21/01/2017,14,0
28/01/2017,24,0
04/02/2017,39,0
11/02/2017,36,0
18/02/2017,29,0
25/02/2017,71,0
04/03/2017,64,0
11/03/2017,46,0
18/03/2017,0,0
25/03/2017,16,0
01/04/2017,18,0
08/04/2017,33,0
15/04/2017,0,0
22/04/2017,22,0
29/04/2017,0,0
06/05/2017,15,0
13/05/2017,21,0
20/05/2017,93,0
27/05/2017,20,0
03/06/2017,22,0
10/06/2017,0,0
17/06/2017,17,0
24/06/2017,12,0
01/07/2017,15,0
08/07/2017,0,0
15/07/2017,0,0
22/07/2017,20,3
29/07/2017,12,0
05/08/2017,0,2
12/08/2017,0,0
19/08/2017,0,0
26/08/2017,10,0
02/09/2017,34,0
09/09/2017,7,0
16/09/2017,13,0
23/09/2017,9,0
30/09/2017,10,0
07/10/2017,3,0
14/10/2017,4,0
21/10/2017,0,0
28/10/2017,4,0
04/11/2017,0,0
11/11/2017,2,0
18/11/2017,3,0
25/11/2017,6,0
02/12/2017,44,0
09/12/2017,0,0
16/12/2017,0,0
23/12/2017,0,0
30/12/2017,13,0
06/01/2018,15,0
13/01/2018,23,0
20/01/2018,0,0
27/01/2018,0,0
03/02/2018,0,0
10/02/2018,39,0
17/02/2018,26,0
24/02/2018,0,0
03/03/2018,60,0
10/03/2018,15,0
17/03/2018,68,0
24/03/2018,100,0
