City,Date,Cases,Rain,Temp,Searches
-12.9711;-38.5108,10/01/2015,125,0.7,26.945,56
-12.9711;-38.5108,17/01/2015,110,0.702857143,27.65857143,100
-12.9711;-38.5108,24/01/2015,121,0.711428571,27.34142857,31
-12.9711;-38.5108,31/01/2015,129,0.702857143,27.65857143,12
-12.9711;-38.5108,07/02/2015,178,0.72,27.42071429,58
-12.9711;-38.5108,14/02/2015,257,0.74,27.14285714,68
-12.9711;-38.5108,21/02/2015,468,0.777142857,26.07285714,36
-12.9711;-38.5108,28/02/2015,450,0.732857143,27.22214286,13
-12.9711;-38.5108,07/03/2015,723,0.695714286,27.26214286,75
-12.9711;-38.5108,14/03/2015,741,0.677142857,27.42071429,100
-12.9711;-38.5108,21/03/2015,1013,0.721428571,27.81714286,17
-12.9711;-38.5108,28/03/2015,1757,0.657142857,26.94428571,29
-12.9711;-38.5108,04/04/2015,1618,0.75,27.14285714,12
-12.9711;-38.5108,11/04/2015,2102,0.71,27.34142857,33
-12.9711;-38.5108,18/04/2015,4462,0.741428571,27.42071429,14
-12.9711;-38.5108,25/04/2015,3191,0.804285714,25.715,100
-12.9711;-38.5108,02/05/2015,4795,0.78,25.67857143,100
-12.9711;-38.5108,09/05/2015,5853,0.818571429,25.99285714,63
-12.9711;-38.5108,16/05/2015,4795,0.765714286,25.79428571,79
-12.9711;-38.5108,23/05/2015,4492,0.734285714,26.31,100
-12.9711;-38.5108,30/05/2015,3282,0.768571429,26.19142857,90
-12.9711;-38.5108,06/06/2015,2828,0.784285714,25.59642857,100
-12.9711;-38.5108,13/06/2015,2677,0.761428571,25.59571429,100
-12.9711;-38.5108,20/06/2015,2299,0.727142857,25.27785714,100
-12.9711;-38.5108,27/06/2015,2374,0.76,25.19785714,100
-12.9711;-38.5108,04/07/2015,2359,0.811428571,25,45
-12.9711;-38.5108,11/07/2015,3282,0.738571429,25.08,50
-12.9711;-38.5108,18/07/2015,3963,0.728571429,24.285,44
-12.9711;-38.5108,25/07/2015,3252,0.701428571,25.15785714,65
-12.9711;-38.5108,01/08/2015,2677,0.678571429,24.56285714,48
-12.9711;-38.5108,08/08/2015,1921,0.681428571,24.16571429,57
-12.9711;-38.5108,15/08/2015,1542,0.738571429,24.24571429,44
-12.9711;-38.5108,22/08/2015,1149,0.725714286,24.60285714,70
-12.9711;-38.5108,29/08/2015,937,0.721428571,24.40428571,14
-12.9711;-38.5108,05/09/2015,786,0.751428571,25.23857143,18
-12.9711;-38.5108,12/09/2015,710,0.712857143,25.67571429,66
-12.9711;-38.5108,19/09/2015,541,0.735714286,25.39642857,52
-12.9711;-38.5108,26/09/2015,523,0.731428571,26.03214286,21
-12.9711;-38.5108,03/10/2015,541,0.722857143,25.99214286,11
-12.9711;-38.5108,10/10/2015,378,0.7,26.86571429,13
-12.9711;-38.5108,17/10/2015,323,0.691428571,26.945,13
-12.9711;-38.5108,24/10/2015,432,0.698571429,27.02428571,39
-12.9711;-38.5108,31/10/2015,432,0.698571429,27.18285714,10
-12.9711;-38.5108,07/11/2015,505,0.682857143,27.34142857,31
-12.9711;-38.5108,14/11/2015,614,0.737142857,27.65857143,48
-12.9711;-38.5108,21/11/2015,813,0.734285714,28.21357143,58
-12.9711;-38.5108,28/11/2015,904,0.734285714,27.26214286,34
-12.9711;-38.5108,05/12/2015,1249,0.755714286,27.81714286,34
-12.9711;-38.5108,12/12/2015,1340,0.712857143,27.65857143,47
-12.9711;-38.5108,19/12/2015,1249,0.682857143,28.21357143,30
-12.9711;-38.5108,26/12/2015,1249,0.694285714,28.37214286,16
-12.9711;-38.5108,02/01/2016,723,0.767142857,27.65857143,19
-12.9711;-38.5108,09/01/2016,1521,0.778571429,27.97571429,30
-12.9711;-38.5108,16/01/2016,1902,0.781428571,26.865,25
-12.9711;-38.5108,23/01/2016,1921,0.771428571,28.09428571,37
-12.9711;-38.5108,30/01/2016,2465,0.711428571,27.89642857,37
-12.9711;-38.5108,06/02/2016,3191,0.677142857,28.65,53
-12.9711;-38.5108,13/02/2016,4462,0.72,28.53857143,74
-12.9711;-38.5108,20/02/2016,6610,0.72,28.61,71
-12.9711;-38.5108,27/02/2016,6458,0.717142857,28.57071429,82
-12.9711;-38.5108,05/03/2016,5097,0.682857143,28.61,62
-12.9711;-38.5108,12/03/2016,3736,0.667142857,28.84785714,81
-12.9711;-38.5108,19/03/2016,2828,0.678571429,29.25714286,72
-12.9711;-38.5108,26/03/2016,1812,0.734285714,28.17428571,74
-12.9711;-38.5108,02/04/2016,1618,0.712857143,28.45642857,66
-12.9711;-38.5108,09/04/2016,862,0.708571429,27.89642857,58
-12.9711;-38.5108,16/04/2016,589,0.672857143,27.65857143,31
-12.9711;-38.5108,23/04/2016,408,0.695714286,27.5,44
-12.9711;-38.5108,30/04/2016,305,0.757142857,26.46857143,60
-12.9711;-38.5108,07/05/2016,272,0.682857143,27.10285714,49
-12.9711;-38.5108,14/05/2016,124,0.76,26.07214286,54
