Entidad,Población
Mexico-Aguascalientes,"1,312,544"
Mexico-Baja_California,"3,315,766"
Mexico-Baja_California_Sur,"712,029"
Mexico-Campeche,"899,931"
Mexico-Chiapas,"5,217,908"
Mexico-Chihuahua,"3,556,574"
Mexico-Coahuila_de_Zaragoza,"2,954,915"
Mexico-Colima,"711,235"
Mexico-Durango,"1,754,754"
Mexico-Guanajuato,"5,853,677"
Mexico-Guerrero,"3,533,251"
Mexico-Hidalgo,"2,858,359"
Mexico-Jalisco,"7,844,830"
Mexico-Mexico_City,"8,918,653"
Mexico-Michoacan_de_Ocampo,"4,584,471"
Mexico-Morelos,"1,903,811"
Mexico-Nayarit,"1,181,050"
Mexico-Nuevo_Leon,"5,119,504"
Mexico-Oaxaca,"3,967,889"
Mexico-Puebla,"6,168,883"
Mexico-Queretaro_de_Arteaga,"2,038,372"
Mexico-Quintana_Roo,"1,501,562"
Mexico-San_Luis_Potosi,"2,717,820"
Mexico-Sinaloa,"2,966,321"
Mexico-Sonora,"2,850,330"
Mexico-State_Of_Mexico,"16,187,608"
Mexico-Tabasco,"2,395,272"
Mexico-Tamaulipas,"3,441,698"
Mexico-Tlaxcala,"1,272,847"
Mexico-Veracruz_de_Ignacio_de_la_Llave,"8,112,505"
Mexico-Yucatan,"2,097,175"
Mexico-Zacatecas,"1,579,209"
