coordenates,date,precipType,precipProbability,precipIntensity,precipIntensityMax,temperatureHigh,temperatureLow,humidity,pressure
17.0900--98.3900,2016-01-02,NA,0,0,0,29.21,17.98,0.71,1012.92
17.0900--96.7133,2016-01-02,NA,0,0,0,27.69,12.99,0.66,1015.82
17.0900--95.0366,2016-01-02,NA,0,0,0,26.41,13.89,0.65,1015.83
18.8200--98.3900,2016-01-02,NA,0,0,0,23.86,8.58,0.64,1014.31
18.8200--96.7133,2016-01-02,NA,0,0,0,21.87,16.22,0.8,1018.99
18.8200--95.0366,2016-01-02,NA,0,0,0,22.24,19.22,0.84,1019.39
20.5500--98.3900,2016-01-02,rain,0.36,0.0762,1.4503,20.68,10.76,0.75,1018.6
20.5500--96.7133,2016-01-02,rain,0.68,0.193,2.7838,20.31,16.64,0.86,1019.77
20.5500--95.0366,2016-01-02,NA,0,0,0,22.97,20.24,0.83,1018.59
22.2800--98.3900,2016-01-02,NA,0,0,0,13.21,10.74,0.94,1026.82
22.2800--96.7133,2016-01-02,NA,0,0,0,14.83,11.94,0.96,1026.32
22.2800--95.0366,2016-01-02,rain,NA,NA,NA,26.11,22.78,0.86,1016.18
17.0900--98.3900,2016-01-03,NA,0,0,0,29.38,18.72,0.73,1011.74
17.0900--96.7133,2016-01-03,NA,0,0,0,27.97,14.79,0.6,1014.02
17.0900--95.0366,2016-01-03,NA,0,0,0,26.31,19.31,0.69,1015.46
18.8200--98.3900,2016-01-03,NA,0,0,0,22.77,7.08,0.64,1012.43
18.8200--96.7133,2016-01-03,NA,0,0,0,20.64,15.17,0.79,1018.85
18.8200--95.0366,2016-01-03,NA,0,0,0,21.18,18.42,0.82,1019.32
20.5500--98.3900,2016-01-03,NA,0,0,0,19.42,7.04,0.74,1016.44
20.5500--96.7133,2016-01-03,NA,0,0,0,19,15.21,0.86,1019.79
20.5500--95.0366,2016-01-03,NA,0,0,0,21.37,19.42,0.79,1018.46
22.2800--98.3900,2016-01-03,NA,0,0,0,14.17,11.57,0.92,1024.83
22.2800--96.7133,2016-01-03,NA,0,0,0,13.92,12.5,0.95,1024.89
22.2800--95.0366,2016-01-03,rain,NA,NA,NA,23.33,22.22,0.82,1015.62
17.0900--98.3900,2016-01-04,NA,0,0,0,27.17,17.19,0.74,1012.72
17.0900--96.7133,2016-01-04,NA,0,0,0,25.87,12.94,0.65,1015.76
17.0900--95.0366,2016-01-04,NA,0,0,0,25.31,15,0.71,1017.4
18.8200--98.3900,2016-01-04,rain,0.22,0.0127,0.2794,18.76,7.43,0.72,1013.43
18.8200--96.7133,2016-01-04,rain,1,0.0127,0.254,19.06,13.39,0.8,1020.52
18.8200--95.0366,2016-01-04,rain,1,0.0127,0.254,20.31,16.61,0.81,1021.03
20.5500--98.3900,2016-01-04,rain,0.24,0.0152,0.3099,17.33,7.32,0.8,1017.37
20.5500--96.7133,2016-01-04,rain,1,0.0127,0.254,18.61,13.76,0.84,1021.13
20.5500--95.0366,2016-01-04,rain,1,0.0127,0.254,20.53,17.88,0.74,1020.46
22.2800--98.3900,2016-01-04,NA,0,0,0,17.06,13.11,0.74,1025.81
22.2800--96.7133,2016-01-04,NA,0,0,0,16.67,14.21,0.72,1025.73
22.2800--95.0366,2016-01-04,rain,NA,NA,NA,23.33,21.67,0.68,1018.76
17.0900--98.3900,2016-01-05,NA,0,0,0,27.67,15.59,0.74,1013.86
17.0900--96.7133,2016-01-05,NA,0,0,0,23.58,12.03,0.74,1016.39
17.0900--95.0366,2016-01-05,rain,0.59,0.0076,0.1499,25.36,13.89,0.76,1017.9
18.8200--98.3900,2016-01-05,NA,0,0,0,20.28,5.05,0.71,1014.54
18.8200--96.7133,2016-01-05,NA,0,0,0,21.17,14.23,0.87,1019.36
18.8200--95.0366,2016-01-05,rain,0.57,0.0076,0.1448,21.83,17.6,0.89,1019.83
20.5500--98.3900,2016-01-05,NA,0,0,0,20.21,5.88,0.73,1017.2
20.5500--96.7133,2016-01-05,NA,0,0,0,21.46,15.92,0.88,1019.81
20.5500--95.0366,2016-01-05,NA,0,0,0,21.79,18.51,0.8,1019.41
22.2800--98.3900,2016-01-05,NA,0,0,0,21.02,15.2,0.77,1022.39
22.2800--96.7133,2016-01-05,NA,0,0,0,20,16.11,0.78,1022.33
22.2800--95.0366,2016-01-05,rain,NA,NA,NA,22.78,22.78,0.66,1018.8
17.0900--98.3900,2016-01-06,NA,0,0,0,28.39,14.36,0.71,1013.36
17.0900--96.7133,2016-01-06,NA,0,0,0,26.61,10.6,0.61,NA
17.0900--95.0366,2016-01-06,NA,0,0,0,27.71,17.36,0.66,NA
18.8200--98.3900,2016-01-06,NA,0,0,0,21.13,5.48,0.57,1013.42
18.8200--96.7133,2016-01-06,NA,0,0,0,22.87,16.96,0.83,1016.06
18.8200--95.0366,2016-01-06,NA,0,0,0,23.47,19.71,0.84,1016.13
20.5500--98.3900,2016-01-06,NA,0,0,0,22.12,5.74,0.62,1014.38
20.5500--96.7133,2016-01-06,NA,0,0,0,23.72,17.54,0.84,1016.16
20.5500--95.0366,2016-01-06,NA,0,0,0,23.42,20.98,0.81,1015.95
22.2800--98.3900,2016-01-06,NA,0,0,0,27.13,15.82,0.78,NA
22.2800--96.7133,2016-01-06,NA,0,0,0,26.14,17.22,0.81,NA
22.2800--95.0366,2016-01-06,rain,NA,NA,NA,24.52,23.89,0.72,1015.74
17.0900--98.3900,2016-01-07,NA,0,0,0,28.75,14.09,0.69,1012.66
17.0900--96.7133,2016-01-07,NA,0,0,0,28.19,9.89,0.6,NA
17.0900--95.0366,2016-01-07,NA,0,0,0,30.84,15,0.71,NA
18.8200--98.3900,2016-01-07,NA,0,0,0,20.84,3.51,0.52,1012.37
18.8200--96.7133,2016-01-07,NA,0,0,0,25.37,13.32,0.8,1011.81
18.8200--95.0366,2016-01-07,NA,0,0,0,28.02,19.49,0.86,1011.86
20.5500--98.3900,2016-01-07,NA,0,0,0,23.34,4.43,0.58,1012.44
20.5500--96.7133,2016-01-07,NA,0,0,0,26.99,14.81,0.81,1011.79
20.5500--95.0366,2016-01-07,NA,0,0,0,25.63,19.87,0.83,1011.54
22.2800--98.3900,2016-01-07,NA,0,0,0,30.08,14.59,0.78,NA
22.2800--96.7133,2016-01-07,NA,0,0,0,28.25,17.5,0.82,NA
22.2800--95.0366,2016-01-07,rain,NA,NA,NA,25.56,24.44,0.76,1011.15
17.0900--98.3900,2016-01-08,NA,0,0,0,28.45,14.96,0.71,1011.99
17.0900--96.7133,2016-01-08,NA,0,0,0,28.15,10.38,0.63,NA
17.0900--95.0366,2016-01-08,NA,0,0,0,30.63,10.83,0.73,NA
18.8200--98.3900,2016-01-08,NA,0,0,0,21.02,3.32,0.55,1011.9
18.8200--96.7133,2016-01-08,NA,0,0,0,25.14,16.66,0.71,1010.01
18.8200--95.0366,2016-01-08,NA,0,0,0,28.32,19.59,0.78,1010.02
20.5500--98.3900,2016-01-08,NA,0,0,0,22.39,3.62,0.59,1011.52
20.5500--96.7133,2016-01-08,NA,0,0,0,27.02,18.08,0.73,1009.91
20.5500--95.0366,2016-01-08,NA,0,0,0,25.78,20.67,0.78,1009.72
22.2800--98.3900,2016-01-08,NA,0,0,0,27.54,15.45,0.77,NA
22.2800--96.7133,2016-01-08,NA,0,0,0,26.29,17.07,0.8,NA
22.2800--95.0366,2016-01-08,rain,NA,NA,NA,25.56,24.44,0.8,1009.69
